aud_id,rev_type,refid,pubtype,pubdate,authors,editors,analyt,monogr,series,volume,issue,pagecol,publish,pucity,pucntry,authorlist,editorlist,created_by,modified_by,created_date,modified_date
40,0,44,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
41,0,45,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
42,0,46,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
43,0,47,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
44,0,48,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
45,0,49,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
46,0,50,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
47,0,51,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
48,0,52,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
49,0,53,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
50,0,54,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
51,0,55,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
52,0,56,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
53,0,57,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
54,0,58,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
55,0,59,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
56,0,60,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
57,0,61,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
58,0,62,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
59,0,63,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
60,0,64,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
