cvtermprop_id,cvterm_id,type_id,value,rank
21014,1901,8048,2015-12-07T19:25:12.000Z,0
21015,1902,8048,2015-12-07T19:25:12.000Z,0
21016,1903,8048,2015-12-07T19:25:12.000Z,0
21017,1904,8048,2015-12-07T19:25:12.000Z,0
21018,1905,8048,2015-12-07T19:25:12.000Z,0
21019,1906,8048,2015-12-07T19:25:12.000Z,0
21020,1907,8048,2015-12-07T19:25:12.000Z,0
21021,1908,8048,2015-12-07T19:25:12.000Z,0
21022,1909,8048,2015-12-07T19:25:12.000Z,0
21023,1910,8048,2015-12-07T19:25:12.000Z,0
20681,2000,8048,2015-12-07T19:25:12.000Z,0
20682,2002,8048,2015-12-07T19:25:12.000Z,0
20683,2010,8048,2015-12-07T19:25:12.000Z,0
20684,2012,8048,2015-12-07T19:25:12.000Z,0
20685,2014,8048,2015-12-07T19:25:12.000Z,0
20686,2015,8048,2015-12-07T19:25:12.000Z,0
20687,2020,8048,2015-12-07T19:25:12.000Z,0
20688,2030,8048,2015-12-07T19:25:12.000Z,0
20689,2040,8048,2015-12-07T19:25:12.000Z,0
20690,2045,8048,2015-12-07T19:25:12.000Z,0
20691,2050,8048,2015-12-07T19:25:12.000Z,0
20692,2052,8048,2015-12-07T19:25:12.000Z,0
20693,2053,8048,2015-12-07T19:25:12.000Z,0
20694,2054,8048,2015-12-07T19:25:12.000Z,0
20695,2056,8048,2015-12-07T19:25:12.000Z,0
20696,2058,8048,2015-12-07T19:25:12.000Z,0
20697,2060,8048,2015-12-07T19:25:12.000Z,0
20698,2065,8048,2015-12-07T19:25:12.000Z,0
20699,2070,8048,2015-12-07T19:25:12.000Z,0
20700,2080,8048,2015-12-07T19:25:12.000Z,0
20701,2090,8048,2015-12-07T19:25:12.000Z,0
20702,2100,8048,2015-12-07T19:25:12.000Z,0
20703,2105,8048,2015-12-07T19:25:12.000Z,0
20704,2110,8048,2015-12-07T19:25:12.000Z,0
20705,2120,8048,2015-12-07T19:25:12.000Z,0
20706,2122,8048,2015-12-07T19:25:12.000Z,0
20707,2123,8048,2015-12-07T19:25:12.000Z,0
20708,2124,8048,2015-12-07T19:25:12.000Z,0
20709,2126,8048,2015-12-07T19:25:12.000Z,0
20710,2128,8048,2015-12-07T19:25:12.000Z,0
