aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
39,0,60580,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GI1NWYnZc,NULL,2022-06-30 13:37:32,NULL
40,0,60581,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GPCBoFWfK,NULL,2022-06-30 13:37:32,NULL
41,0,60582,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G4eZ0ayvr,NULL,2022-06-30 13:37:32,NULL
42,0,60583,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GrQxWNSo4,NULL,2022-06-30 13:37:32,NULL
43,0,60584,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GnLcEW5Ce,NULL,2022-06-30 13:37:32,NULL
44,0,60585,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GkbOigDzh,NULL,2022-06-30 13:37:32,NULL
45,0,60586,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Gc4jbqde1,NULL,2022-06-30 13:37:32,NULL
46,0,60587,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GRqrVft3p,NULL,2022-06-30 13:37:32,NULL
47,0,60588,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GWz512l7R,NULL,2022-06-30 13:37:32,NULL
48,0,60589,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GMpvw4RvD,NULL,2022-06-30 13:37:32,NULL
49,0,60590,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GLoKvVxry,NULL,2022-06-30 13:37:32,NULL
50,0,60591,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GLE5OdKdz,NULL,2022-06-30 13:37:32,NULL
51,0,60592,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GWYTAB3Ur,NULL,2022-06-30 13:37:32,NULL
52,0,60593,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G7Hhvt4tq,NULL,2022-06-30 13:37:32,NULL
53,0,60594,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G56WNV0f8,NULL,2022-06-30 13:37:32,NULL
54,0,60595,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GHkRRSTHF,NULL,2022-06-30 13:37:32,NULL
55,0,60596,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GRI0uLmkR,NULL,2022-06-30 13:37:32,NULL
56,0,60597,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GZsIHVypM,NULL,2022-06-30 13:37:32,NULL
57,0,60598,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GGwhk3gbs,NULL,2022-06-30 13:37:32,NULL
58,0,60599,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GNgZhDHAH,NULL,2022-06-30 13:37:32,NULL
59,0,60600,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GHuxJ7BWc,NULL,2022-06-30 13:37:32,NULL
60,0,60601,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GtwPWFK6D,NULL,2022-06-30 13:37:32,NULL
