aid,gid,atype,created_by,aval,cval_id,alocn,aref,adate,modified_by,created_date,modified_date
1,17221,26377,103,DZA,NULL,0,1,19270618,NULL,2022-03-27 02:14:56,NULL
2,17844,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
3,18827,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
4,23491,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
5,24738,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
6,24928,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
7,25359,26377,103,DZA,NULL,0,1,19790800,NULL,2022-03-27 02:14:56,NULL
