refid,pubtype,pubdate,authors,editors,analyt,monogr,series,volume,issue,pagecol,publish,pucity,pucntry,authorlist,editorlist,created_by,modified_by,created_date,modified_date
48,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
49,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
50,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
51,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
52,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
53,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
54,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
55,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
56,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
57,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
58,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
59,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
60,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
61,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
62,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
63,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
64,NULL,NULL,-,-,ZIM,-,-,-,-,-,-,-,-,NULL,NULL,109,NULL,2022-09-12 07:57:25,NULL
