cvterm_relationship_id,type_id,subject_id,object_id
23507,1210,26374,4032
23634,1220,26374,6020
23380,1200,26374,26242
23508,1210,26375,4032
23635,1220,26375,6020
23381,1200,26375,26243
23509,1210,26376,4032
23636,1220,26376,6020
23382,1200,26376,26244
23510,1210,26377,4032
23637,1220,26377,6020
23383,1200,26377,26245
23511,1210,26378,4032
23638,1220,26378,6020
23384,1200,26378,26246
23512,1210,26379,4032
23639,1220,26379,6020
23385,1200,26379,26247
23513,1210,26380,4032
23640,1220,26380,6020
23386,1200,26380,26248
23514,1210,26381,4032
23641,1220,26381,6020
23387,1200,26381,26249
23515,1210,26382,4032
23642,1220,26382,6020
23388,1200,26382,26250
23516,1210,26383,4032
23643,1220,26383,6020
23389,1200,26383,26251
23517,1210,26384,4032
23644,1220,26384,6020
23390,1200,26384,26252
23518,1210,26385,4032
23645,1220,26385,6020
23391,1200,26385,26253
23519,1210,26386,4032
23646,1220,26386,6020
23392,1200,26386,26254
23520,1210,26387,4032
23647,1220,26387,6020
23393,1200,26387,26255
23521,1210,26388,4032
23648,1220,26388,6020
23394,1200,26388,26256
23522,1210,26389,4032
23649,1220,26389,6020
23395,1200,26389,26257
23523,1210,26390,4032
23650,1220,26390,6020
23396,1200,26390,26258
23524,1210,26391,4032
23651,1220,26391,6020
23397,1200,26391,26259
23525,1210,26392,4032
23652,1220,26392,6020
23398,1200,26392,26260
23526,1210,26393,4032
23653,1220,26393,6020
23399,1200,26393,26261
23527,1210,26394,4032
23654,1220,26394,6020
23400,1200,26394,26262
23528,1210,26395,4032
23655,1220,26395,6020
23401,1200,26395,26259
23529,1210,26396,4032
23656,1220,26396,6020
23402,1200,26396,26263
23530,1210,26397,4032
23657,1220,26397,6020
23403,1200,26397,26264
23531,1210,26398,4032
23658,1220,26398,6020
23404,1200,26398,26265
23532,1210,26399,4032
23659,1220,26399,6020
23405,1200,26399,26266
23533,1210,26400,4032
23660,1220,26400,6020
23406,1200,26400,26267
23407,1200,26401,2300
23534,1210,26401,4032
23661,1220,26401,6020
23535,1210,26402,4032
23662,1220,26402,6020
23408,1200,26402,26268
23536,1210,26403,4032
23663,1220,26403,6020
23409,1200,26403,26269
23537,1210,26404,4032
23664,1220,26404,6020
23410,1200,26404,26270
23538,1210,26405,4032
23665,1220,26405,6020
23411,1200,26405,26271
23539,1210,26406,4032
23666,1220,26406,6020
23412,1200,26406,26272
23540,1210,26407,4032
23667,1220,26407,6020
23413,1200,26407,26273
23541,1210,26408,4032
23668,1220,26408,6020
23414,1200,26408,26274
23542,1210,26409,4032
23669,1220,26409,6020
23415,1200,26409,26275
23543,1210,26410,4032
23670,1220,26410,6020
23416,1200,26410,26276
23544,1210,26411,4032
23671,1220,26411,6020
23417,1200,26411,26277
23418,1200,26412,2220
23545,1210,26412,4032
23672,1220,26412,6020
23546,1210,26413,4032
23673,1220,26413,6020
23419,1200,26413,26278
23547,1210,26414,4032
23674,1220,26414,6020
23420,1200,26414,26279
23548,1210,26415,4032
23675,1220,26415,6020
23421,1200,26415,26280
23549,1210,26416,4032
23676,1220,26416,6020
23422,1200,26416,26281
23550,1210,26417,4032
23677,1220,26417,6020
23423,1200,26417,26282
23551,1210,26418,4032
23678,1220,26418,6020
23424,1200,26418,26283
23720,1200,26419,2208
23721,1210,26419,4030
23722,1220,26419,6020
