formula_id,target_variable_id,definition,active,name,description
1,18030,{{18030}},1,,
2,25262,fn:daysdiff({{25980}},{{25744}}
3,25028,fn:daysdiff({{25980}},{{25815}}
4,25043,fn:daysdiff({{25980}},{{25815}}
5,18000,({{25015}}/{{26088}}
7,26134,fn:avg({{25319}}
8,26134,fn:avg({{25319}}
9,26135,({{25015}}/1000
