locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
83,1,8,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,1,36.1833,-5.3667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,1,39,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1,72,-40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,1,12.1167,-61.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,1,16.25,-61.5833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,1,13.4667,144.7833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,1,15.5,-90.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,1,11,-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,1,12,-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,1,5,-59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,1,19,-72.4167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,1,-53.1,72.5167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,1,41.9,12.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,1,15,-86.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,1,22.25,114.1667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,1,47,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,1,65,-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,1,20,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,1,-5,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,1,32,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,1,33,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,1,53,-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,1,31.5,34.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,1,42.8333,12.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,1,8,-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,1,18.25,-77.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,1,36,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,1,31,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,1,13,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,1,1,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,1,1.4167,173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,1,40,127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,1,37,127.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,1,29.3375,47.6581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,1,41,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,1,18,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,1,57,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,1,33.8333,35.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,1,-29.5,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,1,6.5,-9.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,1,25,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,1,47.1667,9.5333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
