locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
2415,1,53,-6.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2416,1,30.666667,34.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2417,1,32.083333,34.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2418,1,32.833333,35.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2420,1,32.083333,34.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2421,1,31.75,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2422,1,42.25,13.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2423,1,40.5,16.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2424,1,39,16.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2425,1,41,14.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2426,1,44.75,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2427,1,46,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2428,1,42,12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2429,1,44.5,8.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2430,1,45.666667,9.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2431,1,43.5,13.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2432,1,41.666667,14.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2433,1,45,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2434,1,41.25,16.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2435,1,40,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2436,1,37.75,14.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2437,1,43.416667,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2438,1,46.5,11.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2439,1,43,12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2440,1,45.75,7.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2441,1,45.5,11.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2442,1,17.983333,-77.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2443,1,18.416667,-78.133333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2444,1,18.05,-77.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2445,1,18.133333,-76.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2446,1,18.066667,-76.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2447,1,18.35,-77.266667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2448,1,18.066667,-77.016667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2449,1,18.05,-77.783333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2450,1,18.383333,-77.883333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2451,1,18.316667,-76.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2452,1,17.9,-76.433333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2453,1,18.383333,-77.633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2454,1,18.233333,-78.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2455,1,17.966667,-76.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2456,1,35,137.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2457,1,40,140.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2458,1,40.75,141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2459,1,35.5,140.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2460,1,33.75,132.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2461,1,36,136.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2462,1,33.5,130.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2463,1,37.5,140.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2464,1,35.75,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2465,1,36.5,139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2466,1,34.5,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2467,1,44.716667,142.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2468,1,35,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2469,1,36.5,140.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2470,1,36.75,136.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2471,1,39.5,141.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2472,1,34.25,134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2473,1,30,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2474,1,35.5,139.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2475,1,33.666667,133.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2476,1,32.5,130.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2477,1,35.166667,135.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2478,1,34.5,136.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2479,1,38.5,141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2480,1,32.25,131.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2481,1,36,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2482,1,33,129.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2483,1,34.5,136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2484,1,37.5,139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2485,1,33.25,131.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2486,1,35,134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2487,1,34.5,135.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2488,1,33.333333,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2489,1,36,139.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2490,1,35.25,136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2491,1,35,132.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2492,1,35,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2493,1,36.75,139.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2494,1,34.25,134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2495,1,35.75,139.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2496,1,35.5,134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2497,1,36.5,137.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2498,1,34,135.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2499,1,38.5,140.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2500,1,34.333333,131.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2501,1,35.5,138.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2502,1,26,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2503,1,32,35.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2505,1,31.166667,35.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2508,1,30.75,35.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2511,1,44.5,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2512,1,43.066667,76.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2513,1,51.5,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2514,1,48,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2515,1,51.166667,71.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2516,1,47,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2517,1,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2518,1,45.666667,63.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2519,1,44,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2520,1,43,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2521,1,52,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2522,1,48,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2523,1,51.5,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2524,1,45,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2525,1,48.5,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2526,1,54,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2527,1,44,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2531,1,-0.75,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2532,1,-3,39.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2533,1,0,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2534,1,-1.283333,36.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2535,1,1,40.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2536,1,-0.5,34.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2537,1,0.5,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2538,1,0.5,34.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2542,1,40.7575,126.505556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2543,1,40.24,127.530833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2544,1,38.161111,125.575833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2545,1,38.562778,126.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2546,1,38,126.633056,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2547,1,38.701944,127.440833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2548,1,40.051667,125.279722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2549,1,38.985278,125.927778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2550,1,41.214167,128.203611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2551,1,38.866667,125.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2552,1,39.511111,126.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2554,1,33.416667,126.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2555,1,35.75,127.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2556,1,36.75,128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2557,1,37.75,128.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2559,1,35.133333,129.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2560,1,37.583333,127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2561,1,37.45,126.416111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2562,1,37.6,127.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2563,1,36.333333,128.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2564,1,35.8,128.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2565,1,34.75,127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2566,1,36.5,127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2567,1,35.166667,126.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2568,1,36.333333,127.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2570,1,29.333333,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2571,1,29.283333,47.997222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2572,1,14.666667,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2573,1,14.75,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2574,1,20.5,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2578,1,20.166667,101.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2583,1,18.5,101.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2584,1,19.5,103.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2588,1,33.883333,35.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2589,1,33.916667,35.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2590,1,-29.166667,27.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2591,1,-28.833333,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2592,1,-29,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2593,1,-29.833333,27.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2594,1,-29.5,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2595,1,-30.166667,27.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2596,1,-29.333333,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2597,1,-30,28.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2598,1,-30.416667,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2599,1,-29.5,28.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2600,1,7,-9.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2604,1,6.75,-8.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2605,1,5.333333,-8.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2606,1,6.25,-9.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2607,1,7.166667,-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2608,1,4.75,-7.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2609,1,6.5,-10.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2610,1,6.666667,-10.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2611,1,4.916667,-8.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2612,1,6.5,-10.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2613,1,6,-9.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2614,1,32.533333,13.016667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2615,1,27.8,17.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2616,1,23.666667,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2617,1,27.45,13.616667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2618,1,24.566667,15.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2619,1,27.033333,14.433333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2620,1,32.433333,13.633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2621,1,30,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2622,1,32.466667,14.566667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2623,1,28.366667,21.066667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2624,1,32.05,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2625,1,32.3,21.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2626,1,32.65,14.266667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2627,1,32.7,11.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2628,1,25.766667,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2629,1,32.75,12.733333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2630,1,32.116667,20.066667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2631,1,32.766667,22.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2632,1,30.566667,10.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2633,1,31.316667,13.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2634,1,32.383333,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2635,1,31,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2636,1,30.1,17.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2637,1,32.889722,13.184722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2638,1,32.066667,12.516667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2639,1,47.066667,9.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2640,1,47.216667,9.516667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2641,1,47.216667,9.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2642,1,47.216667,9.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2643,1,47.183333,9.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2644,1,47.233333,9.516667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2645,1,47.166667,9.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2646,1,47.233333,9.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2647,1,47.1,9.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2648,1,47.116667,9.533333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2649,1,47.133333,9.516667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2705,1,49.916667,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2706,1,49.666667,6.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2707,1,49.583333,6.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2710,1,-14,49.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2711,1,-19.5,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2712,1,-17,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2713,1,-18,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2714,1,-19,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2715,1,-21,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2716,1,-16.166667,34.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2717,1,-15.7,35.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2718,1,-9.75,33.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2719,1,-16.166667,35.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2720,1,-14.166667,34.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2721,1,-13.583333,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2722,1,-10,33.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2723,1,-13,33.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2725,1,-14,33.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2726,1,-14.5,35.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2727,1,-13.75,33.083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2729,1,-11.5,33.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2730,1,-14.75,34.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2731,1,-11.5,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2732,1,-13,34.083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2733,1,-16.75,35.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2734,1,-13.333333,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2735,1,-10.75,33.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2736,1,-13.75,34.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2737,1,-15.166667,35.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2738,1,-15.5,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2739,1,-15.583333,34.583333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2740,1,2,103.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2741,1,6,100.666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2742,1,5.333333,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2743,1,2.25,102.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2744,1,2.75,102.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2745,1,3.5,102.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2746,1,5,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2747,1,6.5,100.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2748,1,5.333333,100.333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2749,1,2.5,113.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2750,1,3.166667,101.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2751,1,5,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2752,1,3.116667,101.683333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2753,1,5.333333,115.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2754,1,5.5,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2755,1,-0.633333,73.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2756,1,3.916667,72.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2757,1,5.383333,73.483333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2758,1,3.466667,73.466667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2759,1,1.933333,73.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2760,1,7,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2761,1,2.366667,73.116667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2762,1,3.016667,73.466667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2763,1,5.633333,72.916667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2764,1,3.233333,72.933333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2765,1,2.866667,72.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2766,1,5.133333,72.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2767,1,6.616667,72.866667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2768,1,6.233333,73.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2769,1,5.833333,73.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2770,1,4.366667,73.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2771,1,0.616667,73.283333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2772,1,0.416667,73.166667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2773,1,-0.3,73.433333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2774,1,12.65,-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2776,1,14,-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2777,1,14.666667,-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2778,1,14,-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2779,1,10.916667,-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2780,1,14,-7.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2781,1,20,-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2782,1,19,-7.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2783,1,16.5,-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2784,1,16.595556,-11.909167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2785,1,16.053333,-12.824444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2786,1,17.631389,-13.410278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2787,1,17.975278,-14.734444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2788,1,20.502222,-10.071111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2789,1,20.948333,-16.233611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2790,1,18.696667,-10.2075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2791,1,15.381111,-12.355556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2792,1,24,-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2793,1,20.0625,-15.068333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2794,1,-20.333333,57.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2795,1,-20.233333,57.716667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2796,1,-20.416667,57.633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2797,1,-20.25,57.566667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2798,1,-20.095833,57.559722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2799,1,-20.3,57.483333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2800,1,-20.166667,57.525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2801,1,-20.058333,57.641667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2802,1,-20.466667,57.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2803,1,10.4,56.616667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2804,1,-16.633333,59.633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2805,1,-19.7,63.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2806,1,22,-102.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2807,1,30,-115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2808,1,25.833333,-111.833333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2809,1,19,-90.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2810,1,16.5,-92.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
