HH_Id,Num_Plots_CropGrown,Plot_Id,Plot_Area,Plot_Dist_WalkMin,Plot_Locn_Name,PrimaryCrop_Seasn1,PrimaryCrop_Seasn1_Othr,PrimaryCrop_Seasn2,PrimaryCrop_Seasn2_Othr,Plot_Slope,Plot_Soil_Type,Plot_Soil_Fert,Erosion_Yn,Soil_Salinity_Yn,Soil_Acidity_Yn,WaterLogging_Yn,Plot_Tenure_Stat,Plot_Tenure_Stat_Othr,PlotOwn_Inherited_Yn,Plot_SelfManage_10Yrs,Land_Title_FamMemb,LandTitle_Holder,Plot_Manager,Plot_Irrgn_Yn,Plot_Irrgn_Src,Plot_Irrgn_Src_Othr,SoilWater_Consrvn_Str,Plot_Chem_Herbicides_Yn,Plot_Intercropping_Yn,Add_Plot
383,5,2,1,30,sefider,19, ,97, ,1,2,2,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,1
383,5,3,1,20,yegade,19, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,1
383,5,4,1,10,arechit,2, ,97, ,1,1,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,1
383,5,5,1,0,mehal amba,3, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,2
385,4,1,1,20,mehale amba,2, ,97, ,1,1,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,1
385,4,2,4,10,lebatit,19, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,1
385,4,3,1,15,eresetu,3, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,1
385,4,4,3,20,zebekushet,19, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,2
386,7,1,1,10,AGAMUN,19, ,97, ,2,1,2,1,0,1,0,1, ,0,1,1,1,1,0,, ,1,1,0,1
386,7,2,1,5,BOROBOR,3, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,1,0,1
386,7,3,1,10,AGAMUN,6, ,97, ,2,1,2,1,0,1,0,1, ,0,1,1,1,1,0,, ,1,1,0,1
386,7,4,1,45,KUDADO,19, ,97, ,1,2,3,1,0,0,0,1, ,0,1,1,1,1,0,, ,1,0,0,1
386,7,5,1,10,AGAMUN,97, ,99,BARLEY,2,1,2,1,0,1,0,1, ,0,1,1,1,1,0,, ,1,0,0,1
386,7,6,1,60,BOREBOR,2, ,97, ,2,1,2,1,0,1,0,2, ,,0,0,,1,0,, ,1,1,0,1
386,7,7,1,60,BOREBOR,19, ,97, ,2,1,2,1,0,1,0,2, ,,0,0,,1,0,, ,1,1,0,2
388,4,1,3,2,mehal amba,2, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,1,0,, ,0,0,0,1
388,4,2,1,0,mehal amba,2, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,1,0,1
388,4,3,0.5,30,medawe,19, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,1
388,4,4,0.5,30,kulekualo,19, ,97, ,1,2,3,1,0,0,0,1, ,0,1,1,1,1,0,, ,1,0,0,2
389,2,1,2,2,BEJIROND 1,2, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,3,3,0,, ,1,0,0,1
389,2,2,4,5,BEJIROND 2,19, ,97, ,2,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,0,0,2
390,8,1,2,15,Borebor,19, ,97, ,2,1,2,0,1,1,1,3, ,,0,0,,3,0,, ,1,1,0,1
390,8,2,2,30,Eristu,19, ,97, ,2,2,3,1,0,0,1,1, ,1,1,1,3,3,0,, ,1,0,0,1
390,8,3,2,30,Zebek wushet,19, ,97, ,2,2,2,1,0,1,0,2, ,,1,0,,3,0,, ,1,0,0,1
390,8,4,2,30,Zebek wushet 2,99,BARLEY,5, ,2,2,1,1,0,0,0,1, ,1,1,1,3,3,0,, ,1,1,0,1
390,8,5,1,5,School,2, ,97, ,2,1,2,1,1,1,1,3, ,,0,0,,3,0,, ,0,1,0,1
390,8,6,1,30,mowat,19, ,97, ,1,1,3,0,0,0,1,3, ,,0,0,,3,0,, ,0,1,0,1
390,8,7,1,60,woshekid,19, ,97, ,1,2,3,0,0,0,0,1, ,1,1,1,3,3,0,, ,0,0,0,1
390,8,8,1,5,Gibrina,3, ,97, ,2,1,2,1,0,0,1,3, ,,0,0,,3,0,, ,0,0,0,2
391,6,1,1,2,KUTAYE,2, ,97, ,1,2,3,0,0,0,0,1, ,1,0,0,,1,0,, ,0,1,1,1
391,6,2,1,2,KUTAYE,3, ,97, ,1,2,3,0,0,0,0,1, ,1,0,1,1,1,0,, ,0,1,1,1
391,6,3,1,13,DEBEYE,19, ,97, ,1,1,2,0,0,0,0,1, ,1,1,0,,1,0,, ,0,1,1,1
391,6,4,1,25,YEZERA,19, ,97, ,2,3,1,0,0,0,0,3, ,,0,0,,1,0,, ,0,1,1,1
391,6,5,1,27,YEZERA,2, ,97, ,1,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,0,1,1,1
391,6,6,1,2,SELAMYE,3, ,97, ,1,3,1,0,0,0,0,1, ,1,1,0,,1,0,, ,0,1,1,2
392,6,1,2,5,DEGIYAGENA,2, ,97, ,2,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
392,6,2,2,5,YEKEYET,19, ,97, ,2,1,2,1,0,0,0,1, ,1,1,1,3,3,0,, ,0,0,0,1
392,6,3,2,5,DEJAGENA,99,GUAYA,97, ,1,1,2,0,0,0,1,1, ,0,1,1,3,3,0,, ,0,0,0,1
392,6,4,2,30,GIRGIR,2, ,97, ,1,1,2,0,0,0,1,2, ,,0,0,,3,0,, ,0,0,0,1
392,6,5,1.5,5,DEBAY,3, ,97, ,1,1,2,0,0,0,1,2, ,,0,0,,3,0,, ,0,0,0,1
392,6,6,0.5,0,GUARO,3, ,97, ,1,1,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,2
393,4,1,3,30,DEBAY,19, ,97, ,1,1,3,0,0,0,1,1, ,0,1,1,1,1,0,, ,1,1,0,1
393,4,2,1,15,BOREBOR,3, ,97, ,2,1,2,1,0,1,0,1, ,0,1,1,1,1,0,, ,1,1,0,1
393,4,3,2,10,TEKUR DEBAY,2, ,97, ,2,2,2,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,0,1
393,4,4,1,15,GERGERIT,19, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,1,1,0,, ,1,1,0,2
394,6,1,3,10,DEBAY,19, ,97, ,1,2,2,0,0,0,0,1, ,1,1,1,3,3,0,, ,0,0,0,1
394,6,2,1,5,BOREBOR,2, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,1
394,6,3,1,30,DENGORA,19, ,97, ,1,2,2,0,0,0,1,1, ,0,1,1,3,3,0,, ,0,0,0,1
394,6,4,0.5,5,BEKLOSEBER,2, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,1
394,6,5,1,10,BOREBOR,3, ,97, ,2,1,2,1,0,0,0,2, ,,0,0,,3,0,, ,0,0,0,1
394,6,6,1,15,DEBAY,19, ,97, ,1,2,3,1,0,0,0,2, ,,0,0,,3,0,, ,0,0,0,2
395,3,1,6,27,MEDAW,19, ,97, ,1,2,2,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,1,1
395,3,2,4,32,WELA,19, ,97, ,1,2,2,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,1,1
395,3,3,2,13,EYEZRA,2, ,97, ,1,2,2,0,0,0,0,2, ,,1,0,,1,0,, ,1,1,1,2
529,6,1,1,30,HULUMASERIYA,2, ,97, ,1,2,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,0,1
529,6,2,0.5,35,AYIT ASA,99,BARLEY,97, ,1,2,2,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,0,0,1
529,6,3,1,25,LAMKEND,97, ,99,BARLEY,1,2,3,0,0,0,1,1, ,0,1,1,3,3,0,, ,0,0,0,1
529,6,4,1,0,GUARO,99,BARLEY,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,1
529,6,5,1,0,GUARO,5, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,1
529,6,6,0.5,0,GUARO,2, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,2
531,4,1,1,10,WELO MASERIYA,2, ,97, ,2,2,2,0,0,0,0,1, ,1,1,1,2,2,0,, ,1,1,0,1
531,4,2,1,10,WELO MASERIYA,99,BARLEY,5, ,1,2,2,0,0,0,0,1, ,1,1,1,2,2,2,5, ,1,1,0,1
531,4,3,1,5,WELO MASERIYA,99,BARLEY,99,BARLEY,2,2,2,0,0,0,0,2, ,,0,0,,1,2,5, ,1,1,0,1
531,4,4,1,5,WELO MASERIYA,5, ,99,BARLEY,2,2,2,0,0,0,0,2, ,,0,0,,1,0,, ,1,1,0,2
532,5,1,5,0,GUARO,2, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,1,1,1
532,5,2,4,15,WELOMADERIYA,97, ,99,BARLEY,2,1,2,0,1,1,0,1, ,0,1,1,3,3,0,, ,1,0,0,1
532,5,3,3,0,GUARO,99,BARLEY,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,1,1
