HH_Id,Last_Seasn_OwnWSeed_M,SL_No_M,Variety_Name_M,Store_Seperate_M,Seed_Storage_Place_M,Seed_Storage_Place_Othr_M,Seed_Storage_Prob_M,Seed_Storage_Prob_Othr_M,Seed_Disease_Prob_M,Seed_Disease_Prob_M,Seed_Replace_freq_M,SeedVar_Unique_Chara_M,SeedVar_Unique_Chara_Othr_M,Additional_Variety_M
1357,1,1,DANFE,1,1, ,1, ,1, ,5,1, ,2
1358,1,1,HIDASSIE,1,1, ,1, ,1, ,3,6, ,2
1359,1,1,danfe,1,1, ,3, ,1, ,1,1, ,2
1379,1,1,DENDA,1,1, ,1, ,1, ,3,1, ,2
1380,1,1,DENDEA,1,1, ,3, ,1, ,4,1, ,2
1381,,, ,,, ,, ,, ,,, ,
1382,1,1,DENDEHA,1,1, ,3, ,1, ,3,1, ,2
1383,1,1,DASHEN,1,1, ,1, ,1, ,3,1, ,2
1385,1,1,DENDEA,1,1, ,3, ,1, ,1,5, ,2
1386,0,, ,,, ,, ,, ,,, ,
1387,1,1,DENDEHA,1,1, ,3, ,1, ,3,1, ,2
1388,1,1,Dendea,1,1, ,3, ,2, ,3,3, ,2
1390,1,1,DIGELU,1,1, ,3, ,1, ,1,3, ,2
1391,,, ,,, ,, ,, ,,, ,
1393,1,1,digelo,0,1, ,3, ,1, ,1,1, ,2
1394,1,1,dimu,1,1, ,2, ,1, ,1,1, ,2
1396,1,1,danfe,1,3, ,2, ,1, ,1,1, ,2
1397,1,1,DANFE,1,1, ,3, ,1, ,4,4, ,2
1398,1,1,DIMO,1,1, ,3, ,1, ,1,3, ,2
1399,0,, ,,, ,, ,, ,,, ,
1400,0,, ,,, ,, ,, ,,, ,
1502,1,1,DANFE,1,1, ,1, ,1, ,3,1, ,2
1504,,, ,,, ,, ,, ,,, ,
1505,1,1,DANFE,1,1, ,2, ,5, ,3,3, ,2
1506,0,, ,,, ,, ,, ,,, ,
1507,1,1,DANFE,0,1, ,1, ,1, ,3,1, ,2
1508,1,1,DANFE,1,1, ,2, ,1, ,4,1, ,2
1509,1,1,danfe,1,1, ,2, ,1, ,1,1, ,2
1559,0,, ,,, ,, ,, ,,, ,
1561,1,1,KEKEBA,1,1, ,2, ,5, ,3,1, ,2
1562,1,1,kekeba,1,1, ,2, ,3, ,1,7, ,2
1563,0,, ,,, ,, ,, ,,, ,
1895,1,1,kekeba,1,3, ,2, ,1, ,1,1, ,2
1897,1,1,KEKEBA,0,3, ,2, ,1, ,1,3, ,2
1899,1,1,AWAKUGN(LOCAL NAME),1,1, ,2, ,1, ,4,1, ,2
1923,0,, ,,, ,, ,, ,,, ,
1925,0,, ,,, ,, ,, ,,, ,
1926,0,, ,,, ,, ,, ,,, ,
1930,1,1,DANFE,1,1, ,1, ,1, ,2,1, ,2
1931,0,, ,,, ,, ,, ,,, ,
1932,0,, ,,, ,, ,, ,,, ,
1933,0,, ,,, ,, ,, ,,, ,
1934,1,1,DANFE,0,1, ,3, ,1, ,1,1, ,2
1935,1,1,DANFE,0,1, ,3, ,1, ,1,3, ,2
1936,,, ,,, ,, ,, ,,, ,
1938,1,1,KEKEBA,1,1, ,2, ,1, ,3,1, ,2
1942,,, ,,, ,, ,, ,,, ,
1944,0,, ,,, ,, ,, ,,, ,
1945,0,, ,,, ,, ,, ,,, ,
1947,1,1,Don't know (Local seed),0,1, ,3, ,2, ,2,8, ,2
1949,0,, ,,, ,, ,, ,,, ,
1950,1,1,KEKEBA,1,1, ,1, ,1, ,4,6, ,2
1951,0,, ,,, ,, ,, ,,, ,
1952,1,1,kekeba,1,1, ,2, ,1, ,1,1, ,2
1953,1,1,KEKEBA,1,1, ,2, ,1, ,2,1, ,2
1954,0,, ,,, ,, ,, ,,, ,
1955,0,, ,,, ,, ,, ,,, ,
1957,0,, ,,, ,, ,, ,,, ,
1960,1,1,digelo,1,1, ,2, ,1, ,1,1, ,2
1961,0,, ,,, ,, ,, ,,, ,
1962,1,1,global,1,3, ,1, ,1, ,1,1, ,2
1963,0,, ,,, ,, ,, ,,, ,
1965,,, ,,, ,, ,, ,,, ,
1966,,, ,,, ,, ,, ,,, ,
1967,0,, ,,, ,, ,, ,,, ,
1968,1,1,DASHEN,1,1, ,1, ,1, ,5,1, ,1
1968,1,2,DASHEN,1,1, ,1, ,1, ,4,1, ,2
1969,0,, ,,, ,, ,, ,,, ,
1975,,, ,,, ,, ,, ,,, ,
1976,0,, ,,, ,, ,, ,,, ,
1978,0,, ,,, ,, ,, ,,, ,
1980,0,, ,,, ,, ,, ,,, ,
1991,0,, ,,, ,, ,, ,,, ,
1992,1,1,kekeba,1,1, ,3, ,1, ,1,6, ,2
1993,0,, ,,, ,, ,, ,,, ,
1994,1,1,kekeba,1,3, ,3, ,1, ,1,1, ,2
1995,1,1,KEKEBA,0,1, ,1, ,1, ,5,1, ,2
1996,1,1,KEKEBA,0,1, ,3, ,1, ,1,3, ,2
1997,0,, ,,, ,, ,, ,,, ,
1999,1,1,KEKEBA,1,1, ,3, ,1, ,3,1, ,2
2000,0,, ,,, ,, ,, ,,, ,
2020,1,1,bulga,1,1, ,2, ,1, ,1,1, ,2
2021,1,1,Mekodie,1,1, ,3, ,2, ,2,1, ,2
2023,1,1,BULGA,1,1, ,1, ,1, ,4,1, ,2
2025,1,1,BULGA,1,1, ,2, ,1, ,3,1, ,2
2026,1,1,BULGA,0,1, ,3, ,1, ,1,3, ,2
2027,0,, ,,, ,, ,, ,,, ,
2031,1,1,BULGA,0,1, ,3, ,1, ,1,3, ,2
2032,1,1,BULGA,0,1, ,3, ,1, ,1,3, ,2
2033,0,, ,,, ,, ,, ,,, ,
2085,1,1,DK(SHORT IN HIGHT),1,1, ,1, ,1, ,3,1, ,2
2086,1,1,KEKEBA,1,1, ,3, ,1, ,1,3, ,2
2088,0,, ,,, ,, ,, ,,, ,
2089,0,, ,,, ,, ,, ,,, ,
2093,1,1,KEKEBA,1,1, ,2, ,5, ,3,1, ,2
2094,,, ,,, ,, ,, ,,, ,
2095,1,1,KEKEBA,1,1, ,3, ,2, ,3,1, ,2
2096,1,1,KEKEBA,1,1, ,1, ,1, ,5,1, ,2
2097,1,1,KEKEBA,1,1, ,1, ,1, ,5,1, ,2
2098,0,, ,,, ,, ,, ,,, ,
2099,1,1,KEKEBA,1,1, ,2, ,1, ,3,1, ,2
4001,,, ,,, ,, ,, ,,, ,
4002,0,, ,,, ,, ,, ,,, ,
4003,1,1,KEKEBA,1,1, ,2, ,1, ,5,6, ,2
4004,1,1,DANFE,1,1, ,3, ,1, ,3,1, ,2
4005,0,, ,,, ,, ,, ,,, ,
4006,0,, ,,, ,, ,, ,,, ,
4007,1,1,DANFE,1,1, ,1, ,1, ,2,1, ,2
4008,0,, ,,, ,, ,, ,,, ,
4009,1,1,Bulga,0,1, ,2, ,2, ,5,1, ,2
4010,1,1,BULIGA(LOCAL NAME),1,1, ,2, ,1, ,4,2, ,2
4011,1,1,DANFE,0,1, ,1, ,1, ,5,2, ,2
4012,1,1,DANFE,0,2, ,2, ,5, ,6,2, ,2
