HH_Id,Info_Src_Name,Info_Access_Yn,NoInfo_Access_Rsn,NoInfo_Access_Rsn_Othr,Info_Access_Decision
574,5,3,2, ,
574,6,3,3, ,
575,1,2,, ,2
575,2,2,, ,2
575,3,2,, ,2
575,4,3,1, ,
575,5,3,2, ,
575,6,3,3, ,
576,1,1,, ,2
576,2,3,3, ,
576,3,1,, ,2
576,4,3,1, ,
576,5,3,2, ,
576,6,3,3, ,
943,1,2,, ,2
943,2,3,1, ,
943,3,3,1, ,
943,4,3,2, ,
943,5,2,, ,2
943,6,3,2, ,
944,1,2,, ,5
944,2,3,1, ,
944,3,3,1, ,
944,4,3,1, ,
944,5,3,1, ,
944,6,3,1, ,
945,1,2,, ,5
945,2,3,2, ,
945,3,3,1, ,
945,4,3,1, ,
945,5,3,1, ,
945,6,3,1, ,
946,1,1,, ,2
946,2,1,, ,2
946,3,1,, ,2
946,4,3,1, ,
946,5,3,2, ,
946,6,3,3, ,
948,1,1,, ,5
948,2,1,, ,5
948,3,1,, ,5
948,4,3,2, ,
948,5,3,2, ,
948,6,3,2, ,
949,1,1,, ,5
949,2,1,, ,5
949,3,1,, ,2
949,4,99,, ,
949,5,99,, ,
949,6,1,, ,2
951,1,2,, ,2
951,2,3,2, ,
951,3,3,1, ,
951,4,3,2, ,
951,5,3,1, ,
951,6,3,1, ,
952,1,1,, ,2
952,2,2,, ,2
952,3,3,1, ,
952,4,3,1, ,
952,5,3,2, ,
952,6,3,2, ,
956,1,3,6, ,
956,2,3,6, ,
956,3,3,6, ,
956,4,3,1, ,
956,5,3,6, ,
956,6,3,6, ,
957,1,3,3, ,
957,2,3,2, ,
957,3,2,, ,2
957,4,3,2, ,
957,5,3,2, ,
957,6,2,, ,5
958,1,2,, ,2
958,2,3,2, ,
958,3,3,2, ,
958,4,3,2, ,
958,5,3,1, ,
958,6,3,1, ,
959,1,3,1, ,
959,2,3,1, ,
959,3,3,1, ,
959,4,3,1, ,
959,5,3,1, ,
959,6,3,1, ,
960,1,3,4, ,
960,2,3,4, ,
960,3,3,4, ,
960,4,3,4, ,
960,5,3,4, ,
960,6,3,4, ,
961,1,2,, ,5
961,2,3,1, ,
961,3,3,1, ,
961,4,3,1, ,
961,5,3,1, ,
961,6,3,1, ,
962,1,1,, ,2
962,2,1,, ,2
962,3,1,, ,2
962,4,3,1, ,
962,5,3,2, ,
962,6,3,3, ,
963,1,1,, ,5
963,2,99,, ,
963,3,3,1, ,
963,4,3,1, ,
963,5,3,2, ,
963,6,3,1, ,
964,1,1,, ,2
964,2,1,, ,2
964,3,99,, ,
964,4,1,, ,5
964,5,99,, ,
964,6,99,, ,
965,1,2,, ,2
965,2,2,, ,2
965,3,3,3, ,
965,4,3,2, ,
965,5,3,3, ,
965,6,3,3, ,
967,1,3,2, ,
967,2,3,3, ,
967,3,3,1, ,
967,4,3,1, ,
967,5,3,1, ,
967,6,3,1, ,
968,1,1,, ,2
968,2,3,3, ,
968,3,3,6, ,
968,4,3,1, ,
968,5,3,2, ,
968,6,3,3, ,
969,1,1,, ,2
969,2,1,, ,2
969,3,1,, ,2
969,4,1,, ,5
969,5,99,, ,
969,6,99,, ,
971,1,2,, ,5
971,2,99,, ,
971,3,99,, ,
971,4,3,3, ,
971,5,3,3, ,
971,6,3,2, ,
973,1,3,3, ,
973,2,3,3, ,
973,3,3,3, ,
973,4,3,1, ,
973,5,3,5, ,
973,6,3,6, ,
1047,1,1,, ,5
1047,2,3,1, ,
1047,3,3,1, ,
1047,4,3,2, ,
1047,5,2,, ,2
1047,6,3,3, ,
1048,1,3,3, ,
1048,2,3,1, ,
1048,3,3,1, ,
1048,4,3,1, ,
1048,5,3,1, ,
1048,6,3,1, ,
1049,1,1,, ,2
1049,2,1,, ,2
1049,3,1,, ,2
1049,4,99,, ,
1049,5,1,, ,2
1049,6,99,, ,
1050,1,3,1, ,
1050,2,3,2, ,
1050,3,2,, ,5
1050,4,3,2, ,
1050,5,3,1, ,
1050,6,3,2, ,
1051,1,2,, ,5
1051,2,3,2, ,
1051,3,3,1, ,
1051,4,3,1, ,
1051,5,3,1, ,
1051,6,3,1, ,
1052,1,3,7,health case,
