HH_Id,Food_Item,Qnt_Consumed,ETB_Value
245,1,25,500
245,2,0,
245,3,25,2300
245,4,25,900
245,5,0,
245,6,0,
245,7,0,
245,8,0,
245,9,0,
245,10,0,
245,11,50,750
245,12,5,300
245,13,0,
245,14,0,
245,15,0,
245,16,0,
245,17,0,
245,18,0,
245,19,0,
245,20,0,
245,21,0,
245,22,0,
245,23,0,
245,24,0,
245,25,0,
245,26,0,
245,27,0,
245,28,0,
245,29,0,
245,30,0,
245,31,90,900
245,32,0,
245,33,0,
245,34,0,
245,35,0,
245,36,2400,9999
245,37,800,9999
245,38,800,9999
245,39,0,
245,40,0,
245,41,10,70
245,42,0,
245,43,0,
245,44,20,9999
245,45,0,
245,46,0,
245,47,0,
245,48,0,
245,49,0,
245,50,1,350
245,51,0,
245,52,0,
245,53,0,
245,54,0,
245,55,0,
245,56,0,
245,57,0,
245,58,0,
245,59,0,
245,60,0,
245,61,0,
245,62,0,
245,63,0,
245,64,0,
245,65,0,
245,66,0,
245,67,0,
245,68,0,
245,69,0,
245,70,15,75
245,71,10,9999
245,72,2,9999
245,73,1,9999
245,74,1,9999
245,75,0,
245,76,0,
245,77,3,310
245,78,0,
245,79,0,
245,80,0,
245,81,0,
245,82,0,
245,83,0,
245,84,0,
245,85,0,
245,86,1,20
245,87,0,
245,88,0,
245,89,0,
245,90,0,
245,91,,0
245,92,,0
245,93,,0
245,94,,50
245,95,,0
245,96,,0
245,97,,0
245,98,,30
245,99,,0
245,100,,0
245,101,,0
246,1,20,400
246,2,0,
246,3,25,1350
246,4,25,675
246,5,0,
246,6,0,
246,7,0,
246,8,0,
246,9,0,
246,10,0,
246,11,50,400
246,12,5,300
246,13,0,
246,14,0,
246,15,0,
246,16,0,
246,17,0,
246,18,0,
246,19,0,
246,20,0,
246,21,0,
246,22,0,
246,23,0,
246,24,0,
246,25,0,
246,26,0,
246,27,0,
246,28,0,
246,29,0,
246,30,0,
246,31,120,1440
246,32,0,
246,33,0,
246,34,0,
246,35,2,350
246,36,1800,999
246,37,1600,999
246,38,1500,999
246,39,0,
246,40,5,100
246,41,12,170
246,42,0,
246,43,0,
246,44,5,7
246,45,140,0
246,46,0,
246,47,0,
246,48,0,
246,49,0,
246,50,1,375
246,51,1,85
246,52,0,
246,53,0,
246,54,0,
246,55,0,
246,56,0,
246,57,0,
246,58,0,
246,59,0,
246,60,0,
246,61,0,
246,62,0,
246,63,0,
246,64,0,
246,65,0,
246,66,0,
246,67,0,
246,68,0,
246,69,0,
246,70,10,60
246,71,0,
246,72,0,
246,73,0,
246,74,0,
246,75,0,
246,76,0,
246,77,2,260
246,78,0,
246,79,0,
246,80,0,
246,81,0,
246,82,0,
246,83,0,
246,84,0,
246,85,2,100
246,86,1,15
246,87,0,
246,88,0,
246,89,0,
246,90,0,
246,91,,0
246,92,,0
246,93,,0
246,94,,400
246,95,,0
246,96,,250
246,97,,0
246,98,,150
246,99,,40
246,100,,0
246,101,,0
247,1,50,1100
247,2,0,
247,3,50,2000
247,4,50,1555
247,5,0,
247,6,0,
247,7,0,
247,8,0,
247,9,0,
247,10,0,
247,11,200,600
