HH_Id,Asset_Name_M,Num_Items_Owned_M,Purch_Decision_Self_M,Asset_Owner_Name_M
389,20,0,,
389,21,0,,
389,22,0,,
389,23,0,,
389,24,0,,
389,25,0,,
389,26,0,,
389,27,0,,
389,28,0,,
390,1,0,,
390,2,1,1,6
390,3,0,,
390,4,0,,
390,5,0,,
390,6,0,,
390,7,0,,
390,8,0,,
390,9,0,,
390,10,0,,
390,11,0,,
390,12,0,,
390,13,0,,
390,14,0,,
390,15,0,,
390,16,0,,
390,17,0,,
390,18,0,,
390,19,0,,
390,20,0,,
390,21,1,2,1
390,22,0,,
390,23,0,,
390,24,0,,
390,25,0,,
390,26,0,,
390,27,0,,
390,28,0,,
391,1,0,,
391,2,0,,
391,3,0,,
391,4,0,,
391,5,0,,
391,6,0,,
391,7,1,2,2
391,8,0,,
391,9,0,,
391,10,0,,
391,11,0,,
391,12,0,,
391,13,0,,
391,14,0,,
391,15,0,,
391,16,0,,
391,17,0,,
391,18,1,2,2
391,19,0,,
391,20,0,,
391,21,1,2,2
391,22,0,,
391,23,0,,
391,24,0,,
391,25,0,,
391,26,0,,
391,27,0,,
391,28,0,,
392,1,1,1,6
392,2,4,1,6
392,3,0,,
392,4,0,,
392,5,0,,
392,6,0,,
392,7,0,,
392,8,0,,
392,9,0,,
392,10,0,,
392,11,0,,
392,12,0,,
392,13,0,,
392,14,0,,
392,15,0,,
392,16,0,,
392,17,0,,
392,18,0,,
392,19,0,,
392,20,0,,
392,21,0,,
392,22,0,,
392,23,0,,
392,24,0,,
392,25,0,,
392,26,0,,
392,27,0,,
392,28,0,,
393,1,0,,
393,2,2,2,1
393,3,0,,
393,4,0,,
393,5,0,,
393,6,0,,
393,7,0,,
393,8,0,,
393,9,0,,
393,10,0,,
393,11,0,,
393,12,0,,
393,13,0,,
393,14,0,,
393,15,0,,
393,16,0,,
393,17,0,,
393,18,0,,
393,19,0,,
393,20,0,,
393,21,0,,
393,22,0,,
393,23,0,,
393,24,0,,
393,25,0,,
393,26,0,,
393,27,0,,
393,28,0,,
394,1,1,1,6
394,2,2,1,6
394,3,0,,
394,4,0,,
394,5,0,,
394,6,0,,
394,7,0,,
394,8,0,,
394,9,0,,
394,10,0,,
394,11,0,,
394,12,0,,
394,13,0,,
394,14,0,,
394,15,0,,
394,16,0,,
394,17,0,,
394,18,0,,
394,19,0,,
394,20,0,,
394,21,0,,
394,22,0,,
394,23,0,,
394,24,0,,
394,25,0,,
394,26,0,,
394,27,0,,
394,28,0,,
395,1,0,,
395,2,0,,
395,3,0,,
395,4,0,,
395,5,0,,
395,6,0,,
395,7,1,2,1
395,8,0,,
395,9,0,,
395,10,0,,
395,11,0,,
395,12,0,,
395,13,0,,
395,14,0,,
395,15,0,,
395,16,0,,
395,17,0,,
395,18,1,1,1
395,19,0,,
395,20,0,,
395,21,0,,
395,22,0,,
395,23,0,,
395,24,0,,
395,25,0,,
395,26,0,,
395,27,0,,
395,28,0,,
529,1,1,1,6
529,2,2,1,6
529,3,0,,
529,4,0,,
529,5,0,,
529,6,0,,
529,7,0,,
529,8,0,,
529,9,0,,
529,10,0,,
529,11,0,,
529,12,0,,
529,13,0,,
529,14,0,,
529,15,0,,
529,16,0,,
529,17,0,,
529,18,0,,
