HH_Id,New_Var_Last5Yrs_Yn_M,Num_Cult_Variety_M,SL_No_M,Variety_Name_M,VarSeed_Src_M,VarSeed_Src_Othr_M,HowVar_Acquire_M,HowVar_Acquire_Othr_M,When_First_Grwn_M,Still_Grwng_Yn_M,Still_Grwng_Why_M,Still_Grwng_Why_Othr_M,NotStill_Grwng_Why_M,NotStill_Grwng_WhyOthr_M
1383,0,,, ,, ,, ,,,, ,, 
1385,0,,, ,, ,, ,,,, ,, 
1386,0,,, ,, ,, ,,,, ,, 
1387,1,2,1,SELALE,3, ,4, ,2009,0,, ,5, 
1387,1,2,2,DASHEN,3, ,4, ,2010,0,, ,5, 
1388,0,,, ,, ,, ,,,, ,, 
1390,0,,, ,, ,, ,,,, ,, 
1391,1,1,1,DENDA,6, ,4, ,2011,1,2, ,, 
1393,1,2,1,dashen,4, ,4, ,2011,0,, ,5, 
1393,1,2,2,digelo,4, ,4, ,2012,1,2, ,, 
1394,0,,, ,, ,, ,,,, ,, 
1396,0,,, ,, ,, ,,,, ,, 
1397,0,,, ,, ,, ,,,, ,, 
1398,0,,, ,, ,, ,,,, ,, 
1399,1,2,1,DANFE,3, ,4, ,2010,0,, ,5, 
1399,1,2,2,NANI KASSA,2, ,4, ,2009,0,, ,5, 
1400,0,,, ,, ,, ,,,, ,, 
1502,1,1,1,DANFE,6, ,4, ,2009,1,2, ,, 
1504,1,2,1,KEKEBA,6, ,4, ,2009,0,, ,5, 
1504,1,2,2,DENDEA,2, ,2, ,2010,1,2, ,, 
1505,1,1,1,KEKEBA,2, ,2, ,2011,0,, ,5, 
1506,0,,, ,, ,, ,,,, ,, 
1507,0,,, ,, ,, ,,,, ,, 
1508,0,,, ,, ,, ,,,, ,, 
1509,0,,, ,, ,, ,,,, ,, 
1559,1,1,1,KEKEBA,4, ,4, ,2009,0,, ,3, 
1561,1,1,1,KUBESA,4, ,4, ,2009,0,, ,5, 
1562,0,,, ,, ,, ,,,, ,, 
1563,0,,, ,, ,, ,,,, ,, 
1895,0,,, ,, ,, ,,,, ,, 
1897,0,,, ,, ,, ,,,, ,, 
1899,0,,, ,, ,, ,,,, ,, 
1923,0,,, ,, ,, ,,,, ,, 
1925,0,,, ,, ,, ,,,, ,, 
1926,0,,, ,, ,, ,,,, ,, 
1930,1,2,1,DANFE,6, ,4, ,2011,1,1, ,, 
1931,0,,, ,, ,, ,,,, ,, 
1932,0,,, ,, ,, ,,,, ,, 
1933,0,,, ,, ,, ,,,, ,, 
1934,0,,, ,, ,, ,,,, ,, 
1935,0,,, ,, ,, ,,,, ,, 
1936,0,,, ,, ,, ,,,, ,, 
1938,0,,, ,, ,, ,,,, ,, 
1942,0,,, ,, ,, ,,,, ,, 
1944,0,,, ,, ,, ,,,, ,, 
1945,0,,, ,, ,, ,,,, ,, 
1947,0,,, ,, ,, ,,,, ,, 
1949,0,,, ,, ,, ,,,, ,, 
1950,0,,, ,, ,, ,,,, ,, 
1951,0,,, ,, ,, ,,,, ,, 
1952,1,1,1,kekeba,6, ,4, ,2009,1,2, ,, 
1953,1,2,1,GUMAD,4, ,4, ,2009,0,, ,1, 
1953,1,2,2,KEKEBA,4, ,4, ,2010,1,2, ,, 
1954,0,,, ,, ,, ,,,, ,, 
1955,1,3,1,DENDEHA,3, ,4, ,2009,0,, ,5, 
1955,1,3,2,ISRAEL,3, ,4, ,2010,0,, ,5, 
1955,1,3,3,SESEAI,3, ,4, ,2009,0,, ,5, 
1957,0,,, ,, ,, ,,,, ,, 
1960,0,,, ,, ,, ,,,, ,, 
1961,0,,, ,, ,, ,,,, ,, 
1962,0,,, ,, ,, ,,,, ,, 
1963,0,,, ,, ,, ,,,, ,, 
1965,0,,, ,, ,, ,,,, ,, 
1966,1,1,1,SESE (LOCAL NAME),2, ,2, ,2009,0,, ,5, 
1967,0,,, ,, ,, ,,,, ,, 
1968,0,,, ,, ,, ,,,, ,, 
1969,0,,, ,, ,, ,,,, ,, 
