HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
1381,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1382,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1383,1,1,1,0,0,0,1,1,1,1,0,1,1,1
1385,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1386,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1387,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1388,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1390,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1391,1,1,1,1,0,0,1,1,1,0,0,0,0,1
1393,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1394,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1396,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1397,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1398,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1399,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1400,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1502,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1504,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1505,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1506,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1507,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1508,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1509,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1559,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1561,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1562,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1563,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1895,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1897,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1899,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1923,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1925,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1926,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1930,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1931,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1932,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1933,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1934,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1935,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1936,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1938,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1942,1,0,1,0,0,0,0,1,0,0,0,0,1,1
1944,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1945,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1947,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1949,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1950,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1951,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1952,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1953,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1954,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1955,1,0,1,0,0,0,0,1,0,0,0,0,1,1
1957,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1960,1,1,1,1,0,0,1,1,1,0,0,0,1,1
1961,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1962,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1963,1,1,1,0,0,0,1,1,0,0,0,0,1,1
1965,1,0,1,0,0,0,1,0,1,0,0,0,1,1
1966,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1967,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1968,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1969,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1975,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1976,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1978,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1980,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1991,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1992,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1993,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1994,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1995,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1996,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1997,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1999,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2000,1,0,1,0,0,0,1,1,0,0,0,0,1,1
2020,1,0,1,0,0,0,1,1,1,0,0,0,0,1
2021,1,0,1,0,1,0,1,0,1,0,0,0,0,1
2023,1,0,1,0,0,0,1,1,1,0,0,0,1,1
2025,1,0,1,0,0,0,1,1,1,0,0,0,1,1
2026,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2027,1,1,1,0,0,1,1,1,1,0,0,0,1,1
2031,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2032,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2033,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2085,1,0,1,0,0,0,0,1,1,0,0,0,0,1
2086,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2088,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2089,1,0,0,0,0,0,1,1,1,0,0,0,0,1
2093,1,0,1,0,0,0,1,0,1,0,0,0,1,1
2094,1,0,1,0,0,0,1,1,1,0,0,0,0,1
2095,1,0,1,0,0,0,1,1,1,0,0,0,1,1
2096,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2097,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2098,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2099,1,0,1,0,0,0,0,1,1,0,0,0,0,1
4001,1,0,1,0,0,0,1,1,1,0,0,0,0,1
4002,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4003,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4004,1,0,1,0,0,0,0,1,1,0,0,0,0,1
4005,1,0,0,0,0,0,1,1,1,0,0,0,1,1
4006,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4007,1,0,0,0,0,0,0,1,1,0,0,0,0,1
4008,1,0,1,0,0,0,0,1,1,0,0,0,0,1
4009,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4010,1,0,0,0,0,0,0,1,1,0,0,0,0,1
4011,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4012,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4013,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4014,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4015,1,0,0,0,0,0,1,1,0,0,0,0,0,1
