HH_Id,HH_Member_Roster,HH_Member_Id,HH_Member_Name,HH_Mem_Gender,HH_Mem_Age,HHH_Reln,Marital_Status,Primary_Occpn,Primary_Occpn_Othr,Month_Worked,Working_Hrs_Week,Sec_Occpn,Sec_Occpn_Othr,Month_Worked,Working_Hrs_Week,Read_Write_Yn,Education,Education_Othr,Decision_Involvment
393,4,2,Removed,1,67,2,1,1, ,12,40,99, ,,,0,0, ,2
393,4,3,Removed,1,27,3,3,1, ,12,56,99, ,,,0,0, ,2
393,4,4,Removed,2,15,4,2,10, ,,,2, ,12,40,1,4, ,1
394,5,1,Removed,2,46,1,1,2, ,12,70,99, ,,,0,0, ,3
394,5,2,Removed,1,43,0,1,1, ,12,84,2, ,5,42,0,0, ,2
394,5,3,Removed,1,18,3,3,4, ,7,49,2, ,5,35,1,4, ,1
394,5,4,Removed,1,20,3,2,1, ,8,56,2, ,6,42,1,6, ,1
394,5,5,Removed,2,18,3,2,2, ,12,70,99, ,,,0,0, ,1
395,6,1,Removed,2,66,1,1,2, ,8,48,99, ,,,0,0, ,3
395,6,2,Removed,1,50,2,1,1, ,12,48,2, ,6,18,0,0, ,2
395,6,3,Removed,2,26,3,1,2, ,10,48,4, ,10,48,0,0, ,2
395,6,4,Removed,2,24,3,2,2, ,10,48,99, ,,,0,0, ,1
395,6,5,Removed,1,19,3,2,10, ,,,99, ,,,1,9, ,1
395,6,6,Removed,2,16,3,2,2, ,10,60,99, ,,,0,0, ,1
529,2,1,Removed,2,36,1,1,2, ,12,56,99, ,,,1,8, ,3
529,2,2,Removed,1,38,0,1,1, ,12,42,2, ,3,20,1,8, ,2
531,3,1,Removed,2,31,1,2,2, ,9,48,99, ,,,1,7, ,3
531,3,2,Removed,1,50,5,4,1, ,12,40,99, ,,,0,0, ,2
531,3,3,Removed,1,45,6,4,1, ,12,30,2, ,4,20,1,97, ,2
532,2,1,Removed,2,73,1,1,2, ,10,56,99, ,,,0,0, ,3
532,2,2,Removed,1,60,2,1,1, ,12,35,99, ,,,0,0, ,2
533,2,1,Removed,2,52,1,1,7, ,12,25,2, ,10,40,1,98, ,3
533,2,2,Removed,1,40,2,1,1, ,12,40,2, ,3,25,0,0, ,2
535,3,1,Removed,1,40,0,4,2, ,8,36,1, ,12,24,0,0, ,3
535,3,2,Removed,2,20,3,2,2, ,10,48,99, ,,,1,3, ,2
535,3,3,Removed,1,15,3,2,10, ,,,1, ,10,24,1,5, ,1
536,3,1,Removed,2,64,1,1,2, ,9,48,99, ,,,1,97, ,3
536,3,2,Removed,1,56,2,1,1, ,12,38,2, ,4,24,1,97, ,2
536,3,3,Removed,2,20,3,2,10, ,,,2, ,3,48,1,11, ,2
537,4,1,Removed,2,41,1,1,2, ,12,45,99, ,,,0,0, ,3
537,4,2,Removed,1,38,2,1,1, ,12,70,2, ,6,25,0,0, ,2
537,4,3,Removed,2,21,3,2,11, ,,,2, ,8,40,1,10, ,1
537,4,4,Removed,2,18,3,2,10, ,,,99, ,,,1,11, ,1
538,2,1,Removed,2,33,1,1,2, ,12,32,99, ,,,1,6, ,3
538,2,2,Removed,1,28,2,1,1, ,12,42,2, ,6,18,1,8, ,2
539,3,1,Removed,2,51,1,1,2, ,12,30,7, ,12,24,1,98, ,4
539,3,2,Removed,1,45,2,1,1, ,12,25,2, ,6,20,0,0, ,2
539,3,3,Removed,2,20,3,2,2, ,12,25,99, ,,,1,7, ,1
561,3,1,Removed,2,64,1,1,2, ,10,48,99, ,,,1,97, ,3
561,3,2,Removed,1,60,2,1,1, ,12,36,2, ,6,24,0,0, ,2
561,3,3,Removed,2,19,3,2,2, ,10,48,99, ,,,1,5, ,2
563,3,1,Removed,2,67,1,1,2, ,12,36,99, ,,,1,97, ,4
563,3,2,Removed,1,58,2,1,1, ,12,49,99, ,,,0,0, ,1
563,3,3,Removed,2,17,3,2,10, ,,,2, ,12,20,1,8, ,1
564,3,1,Removed,2,48,1,1,2, ,10,48,99, ,,,0,0, ,3
564,3,2,Removed,1,38,2,1,1, ,12,36,2, ,5,24,0,0, ,2
564,3,3,Removed,1,15,3,2,10, ,,,1, ,12,24,1,10, ,1
565,2,1,Removed,2,58,1,1,2, ,10,50,99, ,,,0,0, ,3
565,2,2,Removed,1,70,2,1,1, ,12,70,2, ,5,25,0,0, ,2
567,4,1,Removed,2,44,1,1,2, ,12,56,7, ,12,21,1,4, ,3
567,4,2,Removed,1,38,2,1,1, ,12,70,99, ,,,1,4, ,2
567,4,3,Removed,2,17,3,2,10, ,,,99, ,,,1,10, ,1
567,4,4,Removed,1,15,3,2,10, ,,,99, ,,,1,8, ,1
568,5,1,Removed,2,72,1,1,2, ,12,56,7, ,12,21,1,98, ,3
568,5,2,Removed,1,60,2,1,1, ,12,56,99, ,,,0,0, ,2
568,5,3,Removed,2,58,15,4,2, ,12,70,99, ,,,0,0, ,1
568,5,4,Removed,1,20,3,3,1, ,12,56,2, ,6,35,1,10, ,1
568,5,5,Removed,1,18,3,2,10, ,,,99, ,,,1,10, ,1
569,6,1,Removed,2,51,1,1,2, ,12,72,99, ,,,1,4, ,3
569,6,2,Removed,1,45,2,1,1, ,12,70,2, ,2,35,1,6, ,2
569,6,3,Removed,2,22,3,2,2, ,12,56,99, ,,,1,7, ,2
569,6,4,Removed,1,21,3,2,10, ,,,99, ,,,1,11, ,1
569,6,5,Removed,2,18,3,2,2, ,12,56,99, ,,,1,7, ,1
569,6,6,Removed,2,15,3,2,10, ,,,99, ,,,1,8, ,1
570,3,1,Removed,2,56,1,1,2, ,12,50,99, ,,,0,0, ,3
