HH_Id,HH_Activity_M,Activity_Part_M,Decision_maker_Actvty_M,Influence_Decision_Actvty_M,Own_Decision_Actvty_M
572,4,1,5,3,3
572,5,1,5,3,3
572,6,1,5,3,3
572,7,1,5,3,3
573,1,1,5,3,3
573,2,1,5,3,3
573,3,1,5,3,3
573,4,1,1,3,3
573,5,1,5,3,3
573,6,1,5,3,3
573,7,1,5,3,3
574,1,1,2,3,3
574,2,1,2,3,3
574,3,1,2,3,3
574,4,1,2,3,3
574,5,1,2,2,3
574,6,1,2,3,3
574,7,1,2,3,3
575,1,1,2,3,4
575,2,1,2,3,4
575,3,1,2,3,4
575,4,1,2,3,4
575,5,1,2,3,4
575,6,1,2,3,4
575,7,1,2,3,4
576,1,1,2,3,4
576,2,1,2,3,3
576,3,1,2,3,4
576,4,1,2,3,4
576,5,1,2,3,4
576,6,1,2,3,4
576,7,1,2,3,4
943,1,1,5,2,3
943,2,1,5,2,3
943,3,1,5,2,3
943,4,1,5,2,3
943,5,1,5,2,3
943,6,1,5,2,3
943,7,1,5,2,3
944,1,1,5,3,4
944,2,1,5,3,4
944,3,1,5,3,4
944,4,1,5,3,4
944,5,1,5,3,4
944,6,1,5,3,4
944,7,1,5,3,4
945,1,1,5,3,3
945,2,1,5,3,3
945,3,1,5,3,3
945,4,1,5,3,3
945,5,1,5,3,3
945,6,1,5,3,3
945,7,1,5,3,3
946,1,1,2,3,3
946,2,1,2,3,3
946,3,1,2,3,4
946,4,1,2,3,3
946,5,1,2,3,4
946,6,1,2,3,4
946,7,1,2,3,3
948,1,1,5,3,3
948,2,1,5,3,4
948,3,1,5,3,3
948,4,1,5,3,3
948,5,1,5,3,3
948,6,1,5,3,3
948,7,1,5,3,3
949,1,1,1,3,3
949,2,1,1,3,3
949,3,1,1,3,3
949,4,1,1,3,3
949,5,1,1,3,3
949,6,1,1,3,3
949,7,1,1,3,3
951,1,1,5,2,3
951,2,1,5,2,3
951,3,1,5,2,3
951,4,1,5,2,3
951,5,1,5,2,3
