HH_Id,Item_Consumed,Money_Value_ETB,Spent_Low_Yn
943,4,10000,0
943,5,700,0
943,6,0,
943,7,1000,0
943,8,0,
943,9,0,
944,1,2000,0
944,2,3000,0
944,3,200,0
944,4,0,
944,5,2000,0
944,6,0,
944,7,1800,0
944,8,0,
944,9,2000,0
945,1,3500,0
945,2,5000,0
945,3,480,0
945,4,6000,0
945,5,0,
945,6,0,
945,7,300,0
945,8,0,
945,9,4500,0
946,1,300,0
946,2,1500,0
946,3,0,
946,4,5000,0
946,5,0,
946,6,0,
946,7,120,1
946,8,150,0
946,9,0,
948,1,3500,1
948,2,6000,1
948,3,500,1
948,4,2300,1
948,5,500,1
948,6,0,
948,7,3000,1
948,8,70,1
948,9,0,
949,1,12000,0
949,2,2000,0
949,3,260,1
949,4,0,
949,5,3000,0
949,6,0,
949,7,2500,0
949,8,600,0
949,9,0,
951,1,300,0
951,2,2500,0
951,3,240,0
951,4,1000,0
951,5,800,0
951,6,0,
951,7,500,0
951,8,0,
951,9,0,
952,1,400,0
952,2,2000,0
952,3,1250,0
952,4,1000,0
952,5,200,1
952,6,0,
952,7,870,0
952,8,0,
952,9,0,
956,1,1500,0
956,2,6000,0
956,3,15000,0
956,4,2000,0
956,5,0,
956,6,0,
956,7,1200,0
956,8,0,
956,9,0,
957,1,0,
957,2,3000,1
957,3,2000,1
957,4,5000,1
957,5,600,1
957,6,0,
957,7,1300,1
957,8,0,
957,9,0,
958,1,0,
958,2,3000,0
958,3,300,1
958,4,600,0
958,5,450,0
958,6,0,
958,7,115,0
958,8,0,
958,9,0,
959,1,1500,1
959,2,3000,1
959,3,240,0
959,4,1300,0
959,5,500,0
959,6,0,
959,7,60,0
959,8,0,
959,9,1900,0
960,1,200,0
960,2,800,0
960,3,240,0
960,4,150,0
960,5,0,
960,6,0,
960,7,425,0
960,8,0,
960,9,50,1
961,1,2000,0
961,2,10000,0
961,3,240,1
961,4,3000,0
961,5,2000,0
961,6,0,
961,7,283,0
961,8,0,
961,9,2000,0
962,1,500,1
962,2,2500,1
962,3,240,0
962,4,5000,0
962,5,700,0
962,6,0,
962,7,65,0
962,8,200,0
962,9,0,
963,1,500,0
963,2,3000,0
963,3,350,1
963,4,1000,0
963,5,200,0
963,6,0,
963,7,300,1
963,8,200,0
963,9,600,0
964,1,0,
964,2,2500,0
964,3,290,0
964,4,1800,0
964,5,500,0
964,6,0,
964,7,300,0
964,8,0,
964,9,0,
965,1,0,
965,2,75,0
965,3,240,1
965,4,0,
965,5,300,1
965,6,0,
965,7,75,1
965,8,30,1
965,9,0,
967,1,1200,0
967,2,2000,0
967,3,500,0
967,4,450,0
967,5,0,
967,6,0,
967,7,800,0
967,8,0,
967,9,1000,1
968,1,250,0
968,2,1500,1
968,3,240,0
968,4,0,
968,5,0,
968,6,0,
968,7,130,0
968,8,150,0
968,9,0,
969,1,0,
969,2,700,0
969,3,450,0
969,4,0,
969,5,370,0
969,6,0,
969,7,485,0
969,8,0,
969,9,0,
971,1,300,1
971,2,4000,1
971,3,240,1
